ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-01-27;38217
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-02-17;88349
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-03-15;105366
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-04-28;82215
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-05-27;51298
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-06-20;29815
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-07-16;25177
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-08-19;135021
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-09-22;26087
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-10-17;78246
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-11-22;62778
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Попова Ирина Юрьевна;Кавалерист;+75155743170;ernest1985@rambler.ru;1993-06-20;2023-12-15;94753
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-01-26;174780
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-02-19;182993
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-03-27;21354
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-04-19;20813
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-05-14;88183
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-06-12;139263
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-07-10;141402
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-08-21;154846
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-09-25;107274
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-10-14;158358
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-11-13;81257
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Лукия Николаевна Владимирова;Инженер;+7 639 139 14 94;longin2021@gmail.com;1960-06-05;2023-12-10;187282
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Сорокин Игорь Харитонович;Специалист по клеточным технологиям;+7 625 593 6197;kolesnikovratibor@gmail.com;1965-01-21;2023-01-27;81873
ФК Пульс;Терскол;бул. Прибрежный, д. 1/7 стр. 245;8 488 982 84 43;Сорокин Игорь Харитонович;Специалист по клеточным технологиям;+7 625 593 6197;kolesnikovratibor@gmail.com;1965-01-21;2023-02-21;119181
